Long,Lat,STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,YR_SUB,RSTATUS,STATSTRU,LONGITUD,LATITUDE,LOCALE_ADD,REAPLOCALE_ADD,Data_Year,FID_L0USA_Counties_Generalized,GlobalID
-80.06487099999998,26.410937000000047,FL,FL0133,FSCS5066,HIGHLAND BEACH LIBRARY,3618 S. OCEAN BLVD.,HIGHLAND BEACH,33487,3393,3618 S. OCEAN BLVD.,HIGHLAND BEACH,33487,3393,PALM BEACH,5612785455.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,3609,3548,1,0,0,0.13,1.25,0.7,1.95,64332,1485,0,2884,68701,-9,-9,-9,6388,581,1665,8634,-9,78119,0,0,0,0,0,1510,-1,28184,464,21419,1083,1118,1,70,71,49,1678,12898,3013,3351,-1,3663,-1,-1,-1,-1,-1,234,236,68,40,0,1104,787,0,11,4061,-1,2017,4,0,-80.064871,26.410937,21,3,2017,-1,{cec4d5f5-0576-4ae3-8069-87067b650ebf}
-82.07187899999997,26.44029000000006,FL,FL0043,FSCS5046,SANIBEL PUBLIC LIBRARY,770 DUNLOP ROAD,SANIBEL,33957,4016,770 DUNLOP ROAD,SANIBEL,33957,4016,LEE,2394722483.0,NO,LD,SO,Y,CI1,N,10/01/2016,09/30/2017,6659,6547,1,0,0,4.0,5.0,8.5,13.5,1672593,48700,0,176739,1898032,783531,205747,989278,59333,38963,30216,128512,762774,1880564,0,0,0,1893604,1893604,226815,43157,3641,4373,3000,6652,3000,10,70,80,200,2808,128002,10496,11452,129104,18180,20985,89938,-1,20985,110923,740,812,205,180,0,9261,2200,0,18,6985,24552,2017,2,0,-82.071879,26.44029,41,8,2017,-1,{42d8d2a0-1144-4134-897a-90171d4ae8a7}
-81.93923899999999,26.447452000000055,FL,FL0041,FSCS5044,FORT MYERS BEACH PUBLIC LIBRARY,2755 ESTERO BLVD.,FORT MYERS BEACH,33931,3504,2755 ESTERO BLVD.,FORT MYERS BEACH,33931,3504,LEE,2394639691.0,ME,CI,SO,Y,CI2,N,10/01/2016,09/30/2017,37273,36646,1,0,0,5.0,5.0,6.0,11.0,1374000,34244,0,47201,1455445,380452,86882,467334,42933,14111,14017,71061,599000,1137395,0,0,0,0,0,0,63199,700,7410,0,11669,0,1,70,71,172,2548,174415,890,6431,63442,5838,2177,-1,-1,2177,-1,708,74,342,74,5,5081,959,15,16,13046,9923,2017,1,0,-81.939239,26.447452,21,4,2017,-1,{9803f2e9-f744-4bb6-8235-3effe8bb9c4f}
-80.07421999999997,26.461550000000045,FL,FL0248,FL0248,DELRAY BEACH LIBRARY,100 WEST ATLANTIC AVENUE,DELRAY BEACH,33444,3662,100 WEST ATLANTIC AVENUE,DELRAY BEACH,33444,3662,PALM BEACH,5612660194.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,65804,64697,1,0,0,6.0,7.0,14.23,21.23,1785187,69445,0,782547,2637179,1009499,298453,1307952,197982,23000,24349,245331,656429,2209712,0,0,0,0,0,160095,130718,5924,4370,435,6198,32,6,70,76,300,3006,428451,42919,31351,168215,40277,10074,158141,12774,22848,180989,297,458,1506,516,0,19663,6881,0,63,43026,102200,2017,2,0,-80.07422,26.46155,13,2,2017,-1,{72934812-c4b4-4bc2-a716-f7ddcc1c0fae}
-80.06407499999995,26.52607900000004,FL,FL0247,FL0247,BOYNTON BEACH CITY LIBRARY,208 S. SEACREST BLVD.,BOYNTON BEACH,33435,4452,208 S. SEACREST BLVD.,BOYNTON BEACH,33435,4452,PALM BEACH,5617426380.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,73992,72747,1,0,0,9.0,9.0,17.5,26.5,2553650,71088,0,53118,2677856,1317023,569478,1886501,127104,44870,27447,199421,536664,2622586,0,0,0,0,0,0,113238,5924,7006,5737,13390,26,10,70,80,95,2838,262782,54289,26522,190044,61445,15440,174604,26989,42429,217033,984,35,544,228,141,12115,4537,2575,93,58065,72192,2017,1,0,-80.064075,26.526079,21,3,2017,-1,{6255389a-7e95-4ffc-a0af-e6f7ba453b7a}
-80.05260099999998,26.584479000000044,FL,FL0251,FL0251,LANTANA PUBLIC LIBRARY,205 WEST OCEAN AVENUE,LANTANA,33462,2863,205 WEST OCEAN AVENUE,LANTANA,33462,2863,PALM BEACH,5615405740.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,10797,10615,1,0,0,1.0,1.0,0.62,1.62,173509,4281,0,5302,183092,-9,-9,-9,22508,734,0,23242,-9,163772,0,0,0,0,0,0,24293,4900,0,0,0,0,5,70,75,66,2256,36592,5632,17671,12014,3364,273,11741,-1,273,12014,0,0,24,1,0,175,3,0,2,2479,1739,2017,2,0,-80.052601,26.584479,21,3,2017,-1,{3af562f4-6c02-4431-b41f-3b6c48c78d3c}
-80.05341399999998,26.61598900000007,FL,FL0250,FL0250,LAKE WORTH PUBLIC LIBRARY,15 NORTH M STREET,LAKE WORTH,33460,3814,15 NORTH M STREET,LAKE WORTH,33460,3814,PALM BEACH,5615337354.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,37946,37308,1,0,0,2.0,3.0,3.2,6.2,524465,13011,0,18000,555476,228218,85237,313455,50223,4090,5800,60113,211016,584584,0,0,0,0,0,0,45325,13732,820,30,1700,8,1,70,71,41,1952,55000,4959,15696,43343,15128,658,42663,-1,658,43321,132,95,261,233,0,7396,7168,0,15,22105,4600,2017,1,0,-80.053414,26.615989,21,3,2017,-1,{e8857cab-8650-406f-abd6-7f84e2ea170b}
-81.86559799999998,26.638591000000076,FL,FL0042,FL0042,LEE COUNTY LIBRARY SYSTEM,2345 UNION STREET,FORT MYERS,33901,3924,2345 UNION STREET,FORT MYERS,33901,3924,LEE,2395334800.0,ME,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,698468,686715,0,14,1,74.0,80.0,135.0,215.0,34240937,1211706,0,2147657,37600300,8943938,3937904,12881842,2455776,1224153,665639,4345568,10221513,27448923,8107866,0,0,0,8107866,1343328,926488,362256,85866,354562,218180,16218,51,70,121,2013,33620,1165326,1165326,282935,6684562,2040240,1473481,5211081,344812,1818293,7029374,3741,6227,3982,1773,536,83703,44804,17174,542,359451,899804,2017,1,0,-81.865598,26.638591,13,2,2017,107,{d84573fb-1c4a-4bee-a381-997f7f29793f}
-80.09547099999997,26.64231200000006,FL,FL0252,FL0252,PALM SPRINGS PUBLIC LIBRARY,217 CYPRESS LANE,PALM SPRINGS,33461,1603,217 CYPRESS LANE,PALM SPRINGS,33461,1603,PALM BEACH,5619652204.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,23250,22859,1,0,0,2.0,2.0,8.6,10.6,728067,21633,2314,0,752014,401112,184297,585409,14134,6450,8627,29211,53303,667923,0,0,0,0,0,44609,47611,6114,1192,441,4411,0,2,70,72,85,3059,78896,32736,8786,37613,17225,1508,37613,-1,1508,39121,35,107,317,145,69,5134,2849,1067,24,27164,27164,2017,1,0,-80.095471,26.642312,21,3,2017,2940,{0796575d-21e2-4d8e-aac6-afce3861bd33}
-80.09802799999994,26.663628000000074,FL,FL0246,FL0246,PALM BEACH COUNTY LIBRARY SYSTEM,3650 SUMMIT BOULEVARD,WEST PALM BEACH,33406,4114,3650 SUMMIT BOULEVARD,WEST PALM BEACH,33406,4114,PALM BEACH,5612332600.0,NO,CO,MO,Y,CO2,N,10/01/2016,09/30/2017,930167,914516,1,17,1,126.0,126.0,349.3,475.3,46700585,1163494,817,3219015,51083911,19084462,7674004,26758466,4662927,1590441,1224319,7477687,9570467,43806620,3448516,0,0,225531,3674047,0,1604515,57710,104284,37685,213697,6682,44,70,114,3188,50772,4282754,1748088,648684,8302594,2706696,1259231,7048844,154663,1413894,8462738,5239,5474,10737,7486,546,258096,203416,5917,1112,892037,345695,2017,1,0,-80.098028,26.663628,21,3,2017,2940,{16da491a-29e5-4488-ab3f-29f226a5524b}
-80.05401299999994,26.71341700000005,FL,FL0254,FL0254,MANDEL PUBLIC LIBRARY OF WEST PALM BEACH,411 CLEMATIS ST.,WEST PALM BEACH,33401,5319,411 CLEMATIS ST.,WEST PALM BEACH,33401,5319,PALM BEACH,5618687700.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,110396,108538,1,0,0,21.5,21.5,22.5,44.0,4728928,115432,85000,416447,5345807,2241413,741156,2982569,245475,230182,143134,618791,1394673,4996033,293111,74303,0,10800,378214,211915,168612,8488,6757,1495,35983,0,1,70,71,237,3069,469409,85460,109658,696488,184298,60870,589135,46483,107353,696488,380,142,3289,1247,407,79824,37343,3253,213,153136,34075,2017,1,0,-80.054013,26.713417,12,2,2017,-1,{de9a58a0-b20f-4fb1-b000-bea5fd99a668}
-80.93436999999994,26.755791000000045,FL,FL0032,FSCS5034,HENDRY COUNTY LIBRARY SYSTEM,120 WEST OSCEOLA AVENUE,CLEWISTON,33440,2910,120 WEST OSCEOLA AVENUE,CLEWISTON,33440,2910,HENDRY,8639831493.0,ME,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,39057,38400,1,2,0,1.0,3.0,4.0,7.0,391677,176785,4500,41122,614084,290387,113773,404160,28160,4198,0,32358,190719,627237,0,0,0,0,0,0,96873,7682,1622,0,2332,0,10,70,80,33,6812,83614,19152,31696,113633,29652,48743,-1,38201,86944,-1,508,322,836,477,0,12902,8829,0,86,19874,1863,2017,2,0,-80.93437,26.755791,33,6,2017,97,{13672fe8-66b4-4b72-91a8-cef65adc36af}
-80.06482399999999,26.783291000000077,FL,FL0253,FL0253,RIVIERA BEACH PUBLIC LIBRARY,600 W. BLUE HERON BLVD.,RIVIERA BEACH,33404,4311,P.O. BOX 11329,RIVIERA BEACH,33404,1329,PALM BEACH,5618454195.0,NO,CI,MO,Y,CI1,N,10/01/2016,09/30/2017,35057,34467,1,0,1,2.0,3.0,9.0,12.0,1013945,23043,0,5282,1042270,483572,186447,670019,55000,8476,0,63476,0,733495,0,0,0,0,0,0,45783,3470,683,113,2578,131,3,70,73,113,3210,60532,4123,10802,10161,3024,-1,-1,171570,171570,-1,0,6,185,167,7,4876,4734,16,30,20130,-1,2017,2,0,-80.064824,26.783291,21,3,2017,2940,{14dd4e96-698a-4ad3-ada5-d454292f1624}
-80.06328099999996,26.798522000000048,FL,FL0249,FL0249,LAKE PARK PUBLIC LIBRARY,529 PARK AVENUE,LAKE PARK,33403,2603,529 PARK AVENUE,LAKE PARK,33403,2603,PALM BEACH,5618813330.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,8784,8636,1,0,0,2.0,2.0,3.0,5.0,285818,6341,0,1400,293559,151437,72397,223834,22000,3000,3000,28000,45500,297334,0,0,0,0,0,5300,33724,2500,417,300,2610,0,2,70,72,20,2860,266442,1325,14307,10450,5700,2560,8674,52000,54560,63234,220,44,980,340,340,13260,3980,5200,12,52416,11000,2017,1,0,-80.063281,26.798522,21,3,2017,2940,{2b3797f5-8cd3-4460-a587-381edde7af62}
-80.05725799999999,26.810376000000076,FL,FL0058,FSCS5070,NORTH PALM BEACH PUBLIC LIBRARY,303 ANCHORAGE DRIVE,NORTH PALM BEACH,33408,4911,303 ANCHORAGE DRIVE,NORTH PALM BEACH,33408,4911,PALM BEACH,5618413383.0,NO,CI,SO,Y,CI1,N,10/01/2016,09/30/2017,12574,12362,1,0,0,2.0,2.0,8.5,10.5,798926,21137,0,9792,829855,444454,175324,619778,49193,17473,16646,83312,74510,777600,0,0,0,0,0,0,33502,7013,2945,528,4720,28,7,70,77,95,3010,84430,12948,7924,86815,18253,12853,73907,9885,22738,96645,323,327,872,495,111,17793,13241,950,14,14573,-1,2017,1,0,-80.057258,26.810376,21,3,2017,2940,{85ff9acd-7c6a-4ab6-aa6d-18dc4820b788}
-82.12307899999996,27.00192000000004,FL,FL0258,FL0258,CHARLOTTE COUNTY PUBLIC LIBRARY,2050 FORREST NELSON BOULEVARD,PORT CHARLOTTE,33952,2128,2050 FORREST NELSON BOULEVARD,PORT CHARLOTTE,33952,2128,CHARLOTTE,9416133200.0,NO,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,172720,169814,1,4,0,10.0,10.0,35.23,45.23,4509011,129446,0,196323,4834780,1464489,549242,2013731,319287,235251,149087,703625,2117422,4834778,22979,0,0,0,22979,22979,202804,14817,23415,4619,39211,1952,8,70,78,245,9454,632408,129700,74830,929659,171964,99343,830316,121346,220689,1051005,1297,796,1735,561,125,37563,20832,1269,136,115243,-1,2017,1,0,-82.123079,27.00192,22,4,2017,80,{2e900ecd-3c67-4b39-a959-01de7f69b37b}
-80.22409799999997,27.194385000000068,FL,FL0047,FSCS5050,MARTIN COUNTY LIBRARY SYSTEM,2351 SE MONTEREY ROAD,STUART,34996,3331,2351 SE MONTEREY ROAD,STUART,34996,3331,MARTIN,7722194964.0,NO,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,153022,150447,1,5,0,13.0,17.0,32.0,49.0,3313085,113571,0,379012,3805668,2264969,735111,3000080,331280,157984,77666,566930,85865,3652875,162497,0,0,0,162497,0,225252,6823,27916,3163,32725,0,15,70,85,3190,12795,688042,48801,99217,904316,188425,100057,804259,154283,254340,1058599,494,2233,3826,1333,150,81207,45807,4624,275,112763,319600,2017,1,0,-80.224098,27.194385,21,4,2017,2938,{07d729b2-0c8d-46a4-9bfd-f7896da3d133}
-82.53725899999995,27.334872000000075,FL,FL0093,FSCS5091,SARASOTA COUNTY PUBLIC LIBRARIES,1660 RINGLING BLVD.,SARASOTA,34236,6808,1660 RINGLING BLVD.,SARASOTA,34236,6808,SARASOTA,9418615450.0,NO,CO,MO,Y,CO1,N,10/01/2016,09/30/2017,407260,400407,0,9,0,37.0,38.0,116.9,154.9,10947236,298648,36849,0,11282733,5133407,1830370,6963777,754722,365963,0,1120685,2923006,11007468,10573000,500000,0,850000,11923000,8309599,545339,16359,52378,5641,74009,3879,28,70,98,2164,21060,1769422,249715,234517,2677810,840416,193107,2484703,334189,527296,3011999,0,0,3664,2394,922,113601,54578,10859,255,209709,180833,2017,1,0,-82.537259,27.334872,13,2,2017,-1,{59cbebaa-710e-4584-8dbb-83fdd4cdcdbe}
